,A01_02_1FE,A02_01_1FE,A03_01_1FE,A04_01_1FE,A04_04_1FE,A05_01_1FE,A06_01_1FE,A07_01_1FE,A08_01_1FE,A09_01_1FE,A10_01_1FE,A10_02_1FE,A11_01_1FE,A13_01_1FE,A13_03_1FE,A14_01_1FE,A15_02_1FE,A19_01_1FE,A19_03_1FE,A20_01_1FE,A20_03_1FE,A22_01_1FE,A23_01_1FE,A24_02_1FE,A24_04_1FE,A25_01_1FE,A27_02_1FE,A28_02_1FE,A29_01_1FE,A32_01_1FE,A34_01_1FE,A34_02_1FE,A35_01_1FE,A36_01_1FE,A36_02_1FE,A39_01_1FE,A39_02_1FE,A39_04_1FE,A40_02_1FE,A41_01_1FE,A42_02_1FE,A43_02_1FE,A44_01_1FE,A45_02_1FE,A46_01_1FE,A46_02_1FE,A47_01_1FE,A47_02_1FE,A48_01_1FE,A48_05_1FE,A49_01_1FE,A53_01_1FE,A54_02_1FE,A55_01_1FE,A55_02_1FE,A56_01_1FE,A58_01_1FE,A58_03_1FE,A59_01_1FE,A62_01_1FE,A62_03_1FE,A66_02_1FE,A67_01_1FE,A68_01_1FE,A69_01_1FE,A69_02_1FE,A70_01_1FE,A70_03_1FE,A72_01_1FE,A72_02_1FE,A73_01_1FE,A75_02_1FE,A79_02_1FE,A81_01_1FE,A81_03_1FE,A82_02_1FE,A83_02_1FE,A85_01_1FE,A88_02_1FE,A89_01_1FE,A89_02_1FE,A90_03_1FE,A90_04_1FE,A91_01_1FE,A91_02_1FE,A92_01_1FE,A93_01_1FE,A94_01_1FE,A94_02_1FE,A94_03_1FE,A95_01_1FE,V01_01_1FE,V06_02_1FE,V07_01_2FE,V07_02_2FE,V12_01_2FE,V18_02_1FE,V19_01_2FE,V19_02_2FE,V30_01_1FE,V31_01_2FE,V32_02_2FE,V36_02_2FE,V40_01_1FE,V48_03_2FE,V50_01_1FE,V50_01_2FE,V50_02_1FE,V53_02_1FE,V54_01_1FE
A22_01_1FE__bin.15_00657,1,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,15,0,0,0,0,6,0,0,0,0,0,0,1,0,7,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,3,0,0,0,20,0,0,0,19,0,0
A22_01_1FE__bin.15_00658,0,0,0,1,33,0,0,25,0,0,0,0,0,0,0,0,69,0,0,0,0,5,0,0,0,0,35,0,0,26,1,0,0,1,0,0,0,0,0,17,0,0,0,0,1,0,0,2,0,0,0,5,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,4,1,0,0,0,0,1,6,0,3,2,9,90,0,0,0,0,2,1,0,0,0,0,0,0,0,2,26,0,8,6,0,1,6,0,0,0,39,0,0
A22_01_1FE__bin.15_00660,0,0,0,1,1,0,0,117,0,0,0,0,0,0,2,1,0,0,0,0,1,143,0,1,0,1,2,37,0,0,1,0,0,0,0,0,0,0,0,161,0,0,0,0,49,0,0,9,1,0,0,153,0,1,0,97,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,196,0,4,2,0,0,79,0,0,1,5,1674,0,0,0,1,0,0,0,0,2,0,0,0,0,0,94,0,1,12,0,0,0,0,0,0,122,0,0
A22_01_1FE__bin.15_00661,0,0,0,0,0,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,13,2,3,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,13,0,2,0,0,2,0,0,0,0,0,0,9,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,6,0,0,0,0,0,0,0,0,2,2,104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0
A22_01_1FE__bin.15_00662,1,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,113,1,0,0,0,14,0,0,0,0,0,0,1,0,0,0,96,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,128,0,2,0,0,0,11,0,0,1,2,1112,0,0,1,0,0,11,0,0,1,0,0,0,0,0,85,0,2,19,0,2,0,0,0,0,228,0,0
A22_01_1FE__bin.15_00663,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,16,0,0,0,0,18,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,84,369,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,6,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,182,0,0,0,0,0,0,0,0,215,186,242,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,68,0,0,0,0,0,4
A22_01_1FE__bin.15_00679,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,831,0,0,2,0,52,0,0,0,77,0,16,0,0,37,0,0,0,0,0,0,0,0,112,0,0,0,0,0,1,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,3,0,0,179,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
A22_01_1FE__bin.15_00680,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,2,2269,0,0,7,0,78,0,0,5,219,0,11,0,0,70,0,0,0,0,0,0,0,0,242,0,0,0,0,0,2,0,0,0,0,1,0,0,1,4,0,0,0,0,1,0,0,3,0,0,574,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,97,2,0
A22_01_1FE__bin.15_00681,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,24,0,0,0,61,0,12,0,0,51,0,0,0,0,0,0,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
A22_01_1FE__bin.15_00682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00684,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00686,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,2,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00687,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,1,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,962,0,0,0,107,920,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,51,0,0,0,0,0,0,444,0,0,61,0,0,0,0,0,0,0,0,1,0,0,0,509,244,0,0,0,0,551,0,0,0,0,1,0
A22_01_1FE__bin.15_00689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2897,0,1,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,105,0,1,0,0,0,0,0,181,0,0,0,0,0,0,710,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,395,231,0,0,0,0,738,0,0,0,0,0,0
A22_01_1FE__bin.15_00690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3042,0,2,0,0,681,0,2,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,245,0,0,0,0,0,0,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,367,0,0,0,0,1028,0,0,0,0,2,0
A22_01_1FE__bin.15_00691,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,2101,0,0,0,0,584,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,97,0,0,0,0,0,0,125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,155,0,0,0,0,3,0
A22_01_1FE__bin.15_00692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9125,0,0,0,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,7084,0,0,0,397,422,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,147,0,0,0,1,0,0,0,0,0,0,0,0,90,76,0,0,0,0,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8426,0,0,0,589,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5203,0,0,0,419,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9146,0,0,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A22_01_1FE__bin.15_00697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2489,0,0,0,0,192,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00698,0,0,0,0,0,0,0,35,0,0,0,0,0,0,92,1,690,0,0,0,29,74,0,0,0,103,0,9,0,204,64,0,2,2,0,0,0,0,0,62,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,70,0,0,0,0,0,0,0,0,1,348,0,0,0,0,1,11,0,0,29,0,0,22,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,285,0,65,10,0,1,0,0,111,0,0,0,97,1,82
A22_01_1FE__bin.15_00703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00710,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,53,0,0,0,0,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00711,0,0,0,0,2,0,0,45,0,0,1,0,0,0,0,1,30,0,0,0,0,66,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,26,20,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,107,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A22_01_1FE__bin.15_00712,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,82,0,0,0,0,31,0,0,0,0,2,0,1,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,2,0,0,2,0,0,0,0,0,2,0,0,0,6,0,0,0,2,0,13,0,0,0,0,8,1,0,0,20,0,0,1,0,0,0,0,0,2,0
A22_01_1FE__bin.15_00713,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,84,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00714,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,279,0,0,0,1,23,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,6,33,0,0,0,0,0,0,0,0,20,1,20,0,0,0,1,0,1,0,44,0,1,1,0,0,0,0,4,5,3,0,1,1,0,0,0,0,1,1
A22_01_1FE__bin.15_00715,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,3,384,0,0,2,5,28,0,2,0,3,0,0,0,107,3,2,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,6,0,2,0,59,0,0,0,1,1,0,3,0,0,9,1,1,0,0,0,0,0,0,2,0,3,4,0,0,1,6,236,0,61,0,0,1,0,1,0,7,0,0,1,145,1,1,2,4,0,0,0,0,0,0,0,41,0,0
A22_01_1FE__bin.15_00716,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,1,0,0,0,0,1,38,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,1,0,0,0,2,0,0,0,0,0,46,0,1,0,0,0,0,0,0,0,0,0,1,0,0
A22_01_1FE__bin.15_00717,3,0,0,3,45,0,0,45,0,0,0,0,0,0,18,0,325,0,0,0,13,147,0,0,0,13,2,29,2,22,1,0,1,0,0,0,0,0,0,10,0,8,0,0,1,1,0,1,0,0,1,258,0,0,4,34,0,0,0,0,0,5,0,0,13,8,0,0,5,0,1,1,1,0,1,1,0,0,0,0,88,20,1658,0,10,0,2,2,2,0,0,0,25,0,0,460,1,185,0,1,1,0,0,6,0,0,0,104,0,0
A22_01_1FE__bin.15_00719,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,113,0,0,0,0,8,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,21,26,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A22_01_1FE__bin.15_00720,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,3,45,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
A22_01_1FE__bin.15_00721,0,0,0,0,16,0,0,12,0,0,0,0,0,0,0,0,125,0,0,0,0,155,0,2,0,0,8,0,0,22,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,0,2,88,3,4,0,32,0,0,0,0,0,6,1,0,3,10,0,0,0,0,0,4,1,1,0,0,2,0,0,0,18,26,73,0,2,0,0,0,0,0,0,2,8,0,0,19,0,0,0,3,0,0,0,0,0,0,0,7,0,1
A22_01_1FE__bin.15_00722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,5,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,4,0,0
A22_01_1FE__bin.15_00723,4,0,0,5,1,0,1,14,0,0,4,3,0,0,0,0,0,1,0,0,12,52,0,0,0,13,3,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,1,2,0,2,0,27,0,0,0,0,0,0,1,1,0,15,1,0,0,0,0,1,0,0,2,0,7,1,2,0,8,0,6,0,0,0,0,0,0,2,0,5,2,0,0,3,8,22,0,0,2,0,0,0,0,0,1,1,0,0
A22_01_1FE__bin.15_00724,0,0,0,0,0,0,0,16,0,0,0,0,0,0,5,0,0,0,0,0,15,113,0,0,2,0,0,4,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,87,0,241,0,5,0,0,0,0,0,0,0,0,0,0,22,2,21,0,5,0,0,0,0,0,0,0,31,0,1
A22_01_1FE__bin.15_00725,0,0,0,1,0,0,0,49,2,2,0,0,0,0,158,0,4009,0,0,2,3,228,0,1,2,0,0,61,2,839,0,0,0,0,0,0,0,0,1,0,2,0,4,0,36,0,1,3,2,1,2,17,12,0,1,948,0,0,0,1,0,0,3,2,1,30,0,0,1,0,0,1,0,0,0,0,1,0,0,0,816,2,3478,0,567,2,0,0,0,1,0,2,0,1,0,1106,4,156,0,2,0,0,0,0,0,0,0,435,0,0
A22_01_1FE__bin.15_00726,3,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,2,78,0,0,0,3,0,0,0,0,2,0,0,1,0,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0
A22_01_1FE__bin.15_00727,0,0,0,1,4,0,0,78,0,2,0,0,0,0,49,1,1392,0,0,0,0,56,0,0,0,9,3,12,0,48,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,5,1,0,0,48,9,0,1,109,1,0,0,0,0,16,0,0,0,15,0,0,0,0,30,69,0,0,0,0,0,1,1,0,245,1,476,1,35,0,0,0,12,0,57,0,2,3,0,1,0,16,0,102,1,0,2,3,0,0,1,87,4,2
A22_01_1FE__bin.15_00728,0,0,0,1,0,0,0,10,0,0,0,0,0,0,12,0,799,0,0,0,0,126,0,2,0,1,1,7,0,256,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,5,0,0,0,19,0,2,0,314,0,0,0,1,0,0,0,1,0,1,0,0,0,0,5,15,0,1,0,0,0,0,0,0,32,3,1637,0,167,0,0,0,34,0,38,0,0,0,1,1,3,68,0,3,1,0,1,0,0,0,2,32,0,0
A22_01_1FE__bin.15_00729,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,911,0,0,0,0,127,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0
A22_01_1FE__bin.15_00730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00731,0,0,0,0,1,0,0,240,1,0,0,1,0,1,0,0,507,0,0,0,1,728,0,0,0,2,1,0,3,283,2,1,0,0,0,0,1,0,9,1,0,0,0,0,0,5,0,27,0,0,2,2,2,2,4,1,3,0,1,1,0,1,1,0,0,71,5,2,0,1,507,358,2,0,4,0,6,1,0,0,1713,8,10,0,2,1,4,1,5,3,1038,0,1,2,0,6,0,0,1,3,0,0,3,0,0,0,2,5,1,10
A22_01_1FE__bin.15_00732,0,0,0,1,11,0,1,639,1,1,1,1,0,1,0,1,1713,1,0,0,2,1495,0,6,0,1,11,0,3,767,0,3,0,0,0,0,0,3,3,4,1,1,0,4,6,9,0,9,0,1,2,50,12,1043,5,2,5,0,9,1,0,1,0,1,6,109,12,1,1,4,947,788,6,5,10,0,5,4,0,2,889,14,9,2,6,0,5,2,57,5,1820,4,0,20,4,10,1,4,2,7,0,0,14,0,5,0,2,14,2,43
A22_01_1FE__bin.15_00733,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A22_01_1FE__bin.15_00734,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,13,0,0,0,0,399,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38,30,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,56,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,8,0,1,2
