,A01_02_1FE,A02_01_1FE,A03_01_1FE,A04_01_1FE,A04_04_1FE,A05_01_1FE,A06_01_1FE,A07_01_1FE,A08_01_1FE,A09_01_1FE,A10_01_1FE,A10_02_1FE,A11_01_1FE,A13_01_1FE,A13_03_1FE,A14_01_1FE,A15_02_1FE,A19_01_1FE,A19_03_1FE,A20_01_1FE,A20_03_1FE,A22_01_1FE,A23_01_1FE,A24_02_1FE,A24_04_1FE,A25_01_1FE,A27_02_1FE,A28_02_1FE,A29_01_1FE,A32_01_1FE,A34_01_1FE,A34_02_1FE,A35_01_1FE,A36_01_1FE,A36_02_1FE,A39_01_1FE,A39_02_1FE,A39_04_1FE,A40_02_1FE,A41_01_1FE,A42_02_1FE,A43_02_1FE,A44_01_1FE,A45_02_1FE,A46_01_1FE,A46_02_1FE,A47_01_1FE,A47_02_1FE,A48_01_1FE,A48_05_1FE,A49_01_1FE,A53_01_1FE,A54_02_1FE,A55_01_1FE,A55_02_1FE,A56_01_1FE,A58_01_1FE,A58_03_1FE,A59_01_1FE,A62_01_1FE,A62_03_1FE,A66_02_1FE,A67_01_1FE,A68_01_1FE,A69_01_1FE,A69_02_1FE,A70_01_1FE,A70_03_1FE,A72_01_1FE,A72_02_1FE,A73_01_1FE,A75_02_1FE,A79_02_1FE,A81_01_1FE,A81_03_1FE,A82_02_1FE,A83_02_1FE,A85_01_1FE,A88_02_1FE,A89_01_1FE,A89_02_1FE,A90_03_1FE,A90_04_1FE,A91_01_1FE,A91_02_1FE,A92_01_1FE,A93_01_1FE,A94_01_1FE,A94_02_1FE,A94_03_1FE,A95_01_1FE,V01_01_1FE,V06_02_1FE,V07_01_2FE,V07_02_2FE,V12_01_2FE,V18_02_1FE,V19_01_2FE,V19_02_2FE,V30_01_1FE,V31_01_2FE,V32_02_2FE,V36_02_2FE,V40_01_1FE,V48_03_2FE,V50_01_1FE,V50_01_2FE,V50_02_1FE,V53_02_1FE,V54_01_1FE
A01_02_1FE__bin.20_00026,11,0,0,9,325,1,1,313,3,17,14,0,0,1,683,42,5236,0,1,0,622,628,0,0,15,849,5,301,1,1161,731,0,3,2,464,0,0,0,27,552,0,2,29,4,54,8,0,11,0,0,46,211,167,0,0,1081,2,0,5,3,2,1,3,0,30,3920,542,0,12,6,0,629,1,25,463,1,17,519,0,12,1713,1164,6933,0,726,1,0,34,14,0,621,1,11,1,1,2537,1,567,230,123,95,0,6,1665,1,0,1,864,17,567
A01_02_1FE__bin.20_00027,3,0,0,3,100,2,0,97,1,1,0,0,0,0,220,2,1658,0,0,1,157,152,0,0,1,243,0,140,0,420,166,0,5,0,117,0,0,0,0,160,0,0,2,0,31,4,0,1,0,0,0,36,49,0,1,238,0,0,4,0,2,2,0,0,0,968,133,0,2,1,0,128,0,0,139,0,1,112,0,6,449,386,2092,0,206,0,0,1,0,0,401,0,0,1,0,612,0,191,89,34,29,0,0,320,2,0,0,194,0,148
A01_02_1FE__bin.20_00028,10,0,0,29,131,2,0,212,2,0,0,1,0,0,314,58,3300,0,0,2,429,327,0,0,0,587,0,231,2,757,441,0,2,0,201,0,0,0,0,414,0,0,0,6,58,4,3,0,0,2,0,119,0,0,4,643,0,0,4,3,0,10,0,0,0,2271,262,1,4,4,0,321,0,0,245,0,0,212,0,27,0,680,3212,0,465,1,0,0,0,0,602,3,0,0,0,520,3,350,43,52,49,0,0,894,0,0,0,413,0,120
A01_02_1FE__bin.20_00029,13,0,2,40,192,3,0,385,8,0,0,1,0,1,678,65,4757,0,2,4,543,538,0,6,4,746,5,334,5,1301,653,0,11,1,412,0,2,2,0,542,3,2,3,5,120,12,1,8,0,4,9,152,203,1,14,950,0,0,9,2,5,4,5,2,1,3317,465,2,10,4,0,443,2,4,384,0,2,425,1,11,1544,992,6311,0,597,1,0,11,2,1,549,0,0,3,0,2426,5,534,233,61,94,0,0,1376,6,1,0,730,6,573
A01_02_1FE__bin.20_00031,0,0,0,6,73,1,0,67,1,0,0,3,0,1,169,18,1361,0,0,3,94,153,0,2,2,246,1,66,0,346,145,0,1,1,112,1,0,0,0,139,0,0,0,1,15,2,0,1,2,0,2,42,12,0,0,263,0,0,0,2,0,0,4,0,1,951,103,0,3,0,0,70,1,0,108,0,2,96,0,0,375,330,1521,1,190,0,0,0,0,0,167,0,0,1,0,562,4,110,29,4,8,0,0,295,2,0,0,188,3,158
A01_02_1FE__bin.20_00033,0,0,0,0,10,0,0,100,2,0,0,0,0,0,83,2,951,0,0,0,79,86,0,0,0,151,0,14,0,273,97,0,1,1,57,0,0,0,0,78,0,0,0,0,7,0,0,1,0,0,0,10,21,0,0,213,0,0,1,0,0,0,0,0,0,381,72,0,0,0,0,48,0,0,31,0,0,51,1,0,331,194,1314,0,132,0,1,0,0,0,150,0,0,0,0,465,0,93,71,1,0,0,0,164,0,0,0,108,0,75
A01_02_1FE__bin.20_00034,1,0,0,0,51,1,0,62,4,2,0,2,0,1,167,4,1470,0,0,3,89,102,0,0,1,265,0,102,1,416,172,0,4,1,73,0,1,4,0,123,0,0,1,0,10,1,1,4,2,0,1,8,7,0,0,248,0,0,1,0,1,5,0,0,0,659,94,1,1,0,0,111,1,0,78,0,1,61,0,0,410,252,1836,0,197,0,0,2,0,0,185,2,0,0,0,620,0,139,71,2,5,0,0,254,3,0,0,188,0,111
A01_02_1FE__bin.20_00035,5,0,0,3,65,2,0,43,7,3,0,2,0,2,107,2,1540,0,1,4,79,103,1,7,3,253,2,74,2,419,154,0,3,4,65,0,3,0,0,76,0,4,0,3,17,9,0,8,0,0,1,27,9,1,3,286,0,0,5,2,0,3,3,1,7,607,71,0,2,4,0,114,3,3,68,0,4,70,3,0,438,261,1864,0,184,1,0,3,0,1,149,2,0,1,0,620,5,135,43,6,16,0,0,255,1,0,0,192,2,76
A01_02_1FE__bin.20_00037,0,0,0,0,40,0,0,58,0,0,0,0,0,0,75,0,762,0,0,0,59,74,0,0,0,116,0,22,0,174,92,0,0,0,48,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,160,0,0,0,1,0,1,1,0,0,302,49,0,1,0,0,42,0,0,46,0,0,33,0,0,220,137,950,0,99,0,0,0,0,0,108,0,0,0,0,332,0,78,9,3,0,0,0,114,0,0,0,101,0,38
A01_02_1FE__bin.20_00038,0,0,0,0,20,0,0,84,0,0,0,0,0,0,125,1,1119,0,0,0,53,67,0,0,0,197,1,19,0,314,147,0,0,0,75,0,0,0,0,113,0,0,1,0,16,0,0,1,0,0,0,0,7,0,1,241,0,0,0,0,0,1,2,0,0,481,88,0,0,1,0,67,0,0,94,0,1,6,0,0,281,197,1338,0,157,0,1,1,0,0,174,0,0,0,0,526,0,137,22,3,0,0,0,177,1,0,0,157,0,73
